"IDExhibitor","IDSector","Name","Address","PostalCode","Location","City","Phone","Fax","Email","URL","Stand"
1,1,"ACEITES DEL SUR-COOSUR, S.A.","CTRA. DE LA CAROLINA, KM 29","23220","VILCHES","Ja","954690900","954690450","info@acesur.com","www.acesur.com","2115-2116
"
2,12,"AECOVI","URB. PIE DE REY BQ. 3 LOCAL IZQ.","11407","JEREZ DE LA FRONTERA","C","956180873","956180301","carmen@aecovi-jerez.com","www.aecovi-jerez.com","2210
"
3,2,"AECOVI","URB. PIE DE REY BQ. 3 LOCAL IZQ.","11407","JEREZ DE LA FRONTERA","C","956180873","956180301","carmen@aecovi-jerez.com","www.aecovi-jerez.com","2210
"
4,6,"AL-ANDALUS DELICATESSEN","CA","18420","LANJARON","Granada","958772111","958772228","info@alandalus.e.telefonica.net","","2053
"
5,5,"ALMENSUR","CAMINO DE LA ALMENDRERA, S/N","29580","ESTACION DE CARTAMA","M","952420020","952420825","comercial@almensur.com","www.almensur.com","2137"
6,7,"CATUNAMBÃš","FOSFORO, 1 P.I. CALONGE","41007","SEVILLA","Sevilla","954367410","954361262","hogar@catunambu.es","www.catunambu.com","2084-2085"
7,6,"ANDALUZA DE MIELES","C/APARICIO, S/N","41807","ESPARTINAS","Sevilla","954113032","955710268","info@andaluzademieles.com","www.andaluzademieles.com","2198
"
8,14,"ARROCES DE DOÃ‘ANA","POLG.IND.EL PUNTAL NAVE, 1-B","41140","ISLA MAYOR","Sevilla","955773046","955773964","arrocesdedonana@gmail.com","","2136"
9,9,"ASOC. ANDALUZA FAB. SALAZONES Y AHUMADOS","GLORIETA DEL AGUA, 4 2","41940","TOMARES","Sevilla","954151823","954157592","salazones.ahumados@telefonica.net","","2191
"
10,9,"TUNAMAR","REC.INT.ZONA FRANCA, MUELLE RIBERA, S/N","11011","CADIZ","C","956200971","956200972","antonio@tunamar.eu","www.tunamar.eu","2079
"
11,12,"BODEGAS GONZALEZ PALACIOS","CONSOLACION , 60","41740","LEBRIJA","Sevilla","955972785","955974084","bodegas@gonzalezpalacios.com","www.gonzalezpalacios.com","2260
"
12,1,"C.R.D.O. ANTEQUERA","CTRA. CORDOBA, S/N","29200","ANTEQUERA","M","952841451","952840359","info@doantequera.org","www.doantequera.org","2029
"
13,1,"C.R.D.O. SIERRA DE CADIZ","POLIGONO INDUSTRIAL, S/N","11690","OLVERA","C","956130034","956120511","aceitecadiz@interbook.net","www.sierradecadiz.com","2039
"
14,1,"C.R.D.O. SIERRA DE SEGURA","P.I. LLANOS DE ARMIJO, S/N","23360","LA PUERTA DE SEGURA","Ja","953486063","953486063","gerencia@dosierradesegura.com","www.dosierradesegura.com","2157-2160
"
15,1,"C.R.DEN.ORIGEN MONTORO-ADAMUZ","ALTO GUADALQUIVIR, 6","14430","ADAMUZ","C","957166496","957166496","info@montoro-adamuz.com","www.montoro-adamuz.com","2029
"
16,10,"CONSORCIO DE JABUGO","ISAAC NEWTON, 3 MOD. 3","41092","SEVILLA","Sevilla","955024694","955024695","iberico@consorciodejabugo.com","www.consorciodejabugo.com","2057
"
17,11,"CONSORCIO DE JABUGO","ISAAC NEWTON, 3 MOD. 3","41092","SEVILLA","Sevilla","955024694","955024695","iberico@consorciodejabugo.com","www.consorciodejabugo.com","2057
"
18,10,"CORSEVILLA","CTRA. DE GUADALCANAL,S/N,  KM 0","41370","CAZALLA DE LA SIERRA","Sevilla","954889400","954889805","queseria@corsevilla.es","www.corsevilla.es","2052
"
19,11,"CORSEVILLA","CTRA. DE GUADALCANAL,S/N,  KM 1","41370","CAZALLA DE LA SIERRA","Sevilla","954889400","954889805","queseria@corsevilla.es","www.corsevilla.es","2052
"
20,16,"DIPUTACIÃ“N PROVINCIAL DE ALMERÃA","HNOS.MACHADO,27","04071","ALMERIA","Almeria","950211318","9540211324","jgomezan@dipalme.org","www.dipalme.org","2149-2156"
21,16,"DIPUTACION PROVINCIAL DE JAEN","PLAZA DE SAN FRANCISCO, S/N","23071","JAEN","Ja","953248000","953248030","aceitedeoliva@promojaen.es","www.dipujaen.es","2043-2048"
