"IDExhibitor","IDSector","Name","Address","PostalCode","Location","City","Phone","Fax","Email","URL","Stand","IDSector","IDSector","IDLang","Name"
1,1,"ACEITES DEL SUR-COOSUR, S.A.","CTRA. DE LA CAROLINA, KM 29",23220,"VILCHES","Ja",954690900,954690450,"info@acesur.com","www.acesur.com","2115-2116",1,1,1,"ACEITES"
12,1,"C.R.D.O. ANTEQUERA","CTRA. Córdoba, S/N",29200,"ANTEQUERA","M",952841451,952840359,"info@doantequera.org","www.doantequera.org",2029,1,1,1,"ACEITES"
13,1,"C.R.D.O. SIERRA DE CADIZ","POLIGONO INDUSTRIAL, S/N",11690,"OLVERA","Ca",956130034,956120511,"aceitecadiz@interbook.net","www.sierradecadiz.com",2039,1,1,1,"ACEITES"
14,1,"C.R.D.O. SIERRA DE SEGURA","P.I. LLANOS DE ARMIJO, S/N",23360,"Puerta De Segura(La)","Ja",953486063,953486063,"gerencia@dosierradesegura.com","www.dosierradesegura.com","2157-2160",1,1,1,"ACEITES"
15,1,"C.R.DEN.ORIGEN MONTORO-ADAMUZ","ALTO GUADALQUIVIR, 6",14430,"ADAMUZ","Co",957166496,957166496,"info@montoro-adamuz.com","www.montoro-adamuz.com",2029,1,1,1,"ACEITES"
46,1,"OLEUM VIRIDE","ALTA, 10",11688,"ZAHARA DE LA SIERRA","Ca",956139006,956139007,"gerencia@oleumviride.com","www.oleumviride.com",2141,1,1,1,"ACEITES"
48,1,"OROBAENA","CTRA. A 305 BAENA ALBENDIN KM. 58,200",14850,"BAENA","Co",957670706,957691807,"orobaena@wanadoo.es","www.orobaena-sat.com",2199,1,1,1,"ACEITES"
65,1,"C.R.D.O. ESTEPA","POL. IND. SIERRA SUR AVDA DEL MANTECADO S/N (APDO. CORREOS 181)",41560,"ESTEPA","SEVILLA",955912630,955912630,"secretaria@doestepa.es","www.doestepa.es","2169-2176",1,1,1,"ACEITES"
69,1,"C.R.D.O. PRIEGO DE Córdoba","AVDA. NICETO ALCALA ZOMORA, 2",14800,"PRIEGO DE Córdoba","Córdoba",957547034,957547189,"do@priegodecordoda.org","www.priegodecordoba.org","2169-2176",1,1,1,"ACEITES"
72,1,"C.R.D.O. SIERRA CAZORLA","CTRA. PEAL DE BECERRO-CAZORLA KM 10.5",23470,"CAZORLA","Ja",953722121,953722113,"denominacion@desierracazorla.es","www.desierracazorla.es","2157-2160",1,1,1,"ACEITES"
