"Nombre ","Direccion","CP","Localidad","Provincia","Apellidos persona contacto","Nombre persona contacto","Telefono","Movil","Fax","email","web","sector","productos","formato y envase","Stand"
"AB CAFÉ","Polg. Ind. Hacienda Dolores, C-7 Naves,16-22",41500,"Alcalá de Guadaira","Sevilla","Bermúdez Borrego","Álvaro","955 631 562",,"955 334 310","hola@cafeab.com","www.cafeab.com",5,"Café, Azúcar, Infusiones, Chocolate","Formato de 3 kilos y envase metálico, hermético y con triple cierre.",2216
"C.R.D.O. ANTEQUERA","Ctra. Córdoba, s/n Apartado 88",29200,"Antequera","Málaga","Ortíz Ariona (secretario general)","José Luis","952 841 451",,"952 840 359","info@doantequera.org","www.doantequera.org",1,"Aceite de Oliva Virgen Extra ""Hojiblanca Selección""","Lata 3 l. Vidrio 0,25 y 0,5",2029
"ACESUR","Ctra. de la Carolina, Km 29",23220,"Vilches","Jaén","Guillén","Álvaro","954 690 900",,"954 690 450","info@acesur.com","www.acesur.com",1,"Aceite (oliva virgen extra, oliva, girasol, orujo de oliva, semillas), Aceitunas, Condimentos, Gazpacho, Vinagres, Paté de aceitunas, Nutraceites, Glassa, Mayonesa y ketchup.","250, 500, 750, 1 l. cristal; 1l., 2l., 3l., 5l. Pet; 25l. PHD","2115-2116"
"AECOVI-JEREZ SCA","Urb. Pie de Rey Bq. 3 Local Izq.",11407,"Jeréz de la Frontera","Cádiz","González","Juan","956 180 873",,"956 180 301","exportacion@aecovi-jerez.com","www.aecovi-jerez.com",2,"Vinos de Jerez, Vinagres de Jerez, Arropes","Vino: Cristal 375 y 750 ml.; Vinagres y arropes: Cristal 250 y 750 ml., Pet 5l.",2210
"AECOVI-JEREZ SCA","Urb. Pie de Rey Bq. 3 Local Izq.",11407,"Jeréz de la Frontera","Cádiz","González","Juan","956 180 873",,"956 180 301","exportacion@aecovi-jerez.com","www.aecovi-jerez.com",16,"Vinos de Jerez, Vinagres de Jerez, Arropes","Vino: Cristal 375 y 750 ml.; Vinagres y arropes: Cristal 250 y 750 ml., Pet 5l.",2210
"AGUA DE SEVILLA","Escuelas Pías, 1",41003,"Sevilla","Sevilla","Cuesta","Mario Enrique","955 477 314","600 958 470","955 477 440","mcuesta@emasesa.com","www.aguasdesevilla.com",5,"Agua DeSevilla","El producto se comercializa en envase de cristal transparente de 750 ml., con tapón hexagonal y serigrafiado en rojo carmesí.",
"AL-ANDALUS DELICATESSEN","Caño de las Eras, 9",18420,"Lanjarón","Granada","Bermúdez Heredia","Fidel","958 772 111",,"958 772 228","info@alandalussca.com","www.alandalussca.com",6,"Miel D.O.P. ""Miel de Granada"" Calidad Certificada, Miel de Las Alpujarras, Mermeladas, Conservas Vegetales, Repostería Morisca y Chocolates.","Envasamos tanto en formatos para el ama de casa (250 gr., 500 gr.) como formatos para hostelería 1 Kg, 2 Kg, 30 Kg. Envases de cristal, Pet, Pet antigoteo, etc.",2053
"AL-ANDALUS DELICATESSEN","Caño de las Eras, 9",18420,"Lanjarón","Granada","Bermúdez Heredia","Fidel","958 772 111",,"958 772 228","info@alandalussca.com","www.alandalussca.com",11,"Miel D.O.P. ""Miel de Granada"" Calidad Certificada, Miel de Las Alpujarras, Mermeladas, Conservas Vegetales, Repostería Morisca y Chocolates.","Envasamos tanto en formatos para el ama de casa (250 gr., 500 gr.) como formatos para hostelería 1 Kg, 2 Kg, 30 Kg. Envases de cristal, Pet, Pet antigoteo, etc.",2053
"ALMENSUR","Camino de la Almendrera, s/n",29580,"Estación de Cartama","Málaga","Sánchez","Ana María","952 420 020",,"952 420 825","comercial@almensur.com","www.almensur.com",7,"Almendras, miel, frutos secos en general.","Granel, bolsas al vacío, bolsas 200 grs…",2137
"ANDALUZA DE MIELES","Aparicio, s/n",41807,"Espartinas","Sevilla","Ramírez","Cristina","954 113 032",,"955 710 268","info@andaluzademieles.com","www.andaluzademieles.com",6,,,2198
"ARROCES DE DOÑANA","Polg. Ind. El Puntal Nave, 1-B",41140,"Isla Mayor","Sevilla","Pallarés Verdugo","Fernando","955 773 046",,955773964,"arrocesdedonana@gmail.com",,10,"Arroz","Envases (1) (5) (25). Marcas: Laguna Real: (1)- Grano redondo, Guadalis: (1) (5) (25)- Grano Redondo, largo y vaporizado.",2136
"ASEMA","Rec. Int. Zona Franca - Edificio Melkart,22 B",11011,"Cádiz","Cádiz","Concepción Toscano","Antonio","956 205 685",,"956 205 687","admon@asemaonline.com","www.asemaonline.com",12,"Dorada de crianza del sur, Dorada de crianza de calidad certificada, Pescado de estero",,"2248-2249-2250"
"ASEMA","Rec. Int. Zona Franca - Edificio Melkart,22 B",11011,"Cádiz","Cádiz","Concepción Toscano","Antonio","956 205 685",,"956 205 687","admon@asemaonline.com","www.asemaonline.com",9,"Dorada de crianza del sur, Dorada de crianza de calidad certificada, Pescado de estero",,"2248-2249-2250"
"ASOC. ANDALUZA DE FABRICANTES DE SALAZONES Y AHUMADOS","Glorieta del Agua, 4 Edificio Aljamar Center 2ª Planta, Oficina 9",41940,"Tomares","Sevilla","Becerra Tey","Manuel","954 151 823","660 994 459","954 157 592","info@salazonesyahumados.com","www.salazonesyahumados.com",9,"Salazones y ahumados",,2191
"ASOCIACIÓN CAAE","Avda. Emilio Lemos, 2 Edificio Torre Este Mod. 603",41020,"Tomares","Sevilla",,,"954 689 390",,"955 003 881","comuni@caae.es","www.caae.es",9,,,"2212-2213"
"BODEGAS CRUZ CONDE","Ronda Canillo, 4",14550,"Montilla","Córdoba","Padillo Morilla","Emilio","957 651 250","664 337 180","957 653 619","emiliopadillo@bodegascruzconde.es","www.bodegascruzconde.es",16,"Fino Cruz Conde, Pedro Ximenez 1902, Gran Brandy Cruz Conde, Vermouth artesano, Vinagre V al PX, Vinagre V Gran Reserva, Anís La Cordobesa, Mojito Ribera Caribeña, Licores de frutas",,"2093-2096"
"BODEGAS GONZÁLEZ PALACIOS","Vírgen de Consolación, 60",41740,"Lebrija","Sevilla","González","Félix","955 972 785","658 905 044","955 974 084","bodegas@gonzalezpalacios.com","www.gonzalezpalacios.com",16,"Vinos tintos y blancos andaluces, Vinos dulces y generosos de calidad.","Botellas de 75 y 37, 5 cl., y Bag in box",2260
"C.R. D.E. ""BRANDY DE JEREZ""","Avda. Alcalde Álvaro Domecq, 2",11402,"Jeréz de la Frontera","Cádiz","Rebuelta González","Ricardo","956 350 070",,"956 322 114","consejo@brandydejerez.es","www.brandydejerez.es",16,"Brandy de Jerez Solera, Brandy de Jerez Solera Reserva, Brandy de Jerez Solera Gran Reserva","0,70; 0,75; 0,50",2220
"C.R. VINOS DE JEREZ, MANZANILLA Y VINAGRES DE JEREZ","Avda. Alcalde Álvaro Domecq, 2",11405,"Jeréz de la Frontera","Cádiz","Aumesquet (Jefe Dpto. Promoción)","Carmen","956 332 050",,"956 338 908","vinjerez@sherry.org","www.sherry.org / www.vinagredejerez.org",16,"Vinos de Jerez, Manzanilla-Sanlúcar de Barrameda y Vinagres de Jerez","Vinos y Manzanilla 75 y 50 cls., Vinagres varios formatos (75 cls., 50 cls., 35 cls., 25cls.)",2219
"C.R.D.O. BAENA","Pza. de la Constitución, s/n",14850,"Baena","Córdoba","Feria Ager","María José","957 691 121","629 294 877","957 691 110","tierradeolivos@dobaena.com","www.dobaena.com",1,,,"2221-2222"
